model_name,threshold,validation_f1_at_threshold,default_accuracy,default_precision,default_recall,default_f1_score,accuracy,precision,recall,f1_score,roc_auc,pr_auc,confusion_matrix,training_time,threshold_source,status
hgb_lr0.05_leaf31_l20.0,0.36999999999999994,0.7275620623806492,0.8679282868525896,0.7730609639323333,0.6545945945945946,0.7089126298843846,0.8553120849933599,0.6843636363636364,0.762972972972973,0.7215335463258786,0.9246387633231823,0.8248704218763538,"[[10058, 1302], [877, 2823]]",1.948160171508789,train_validation_split,ok
hgb_lr0.05_leaf31_l20.01,0.39499999999999996,0.7268578878748371,0.8676626826029217,0.7708663916217074,0.6564864864864864,0.709093562983506,0.8596945551128818,0.7038273824813769,0.7405405405405405,0.7217173712630054,0.9247204153977922,0.8250709455883842,"[[10207, 1153], [960, 2740]]",1.929107904434204,train_validation_split,ok
hgb_lr0.05_leaf31_l20.1,0.37499999999999994,0.7282018524433088,0.8673306772908367,0.7691334598355472,0.6572972972972972,0.7088312445351209,0.8567729083665339,0.6887692684120381,0.7608108108108108,0.7229998715808399,0.9251218714312903,0.8257232377123963,"[[10088, 1272], [885, 2815]]",2.272387742996216,train_validation_split,ok
hgb_lr0.05_leaf63_l20.0,0.3549999999999999,0.723203026481715,0.8654714475431607,0.766390833863781,0.6508108108108108,0.7038877521192634,0.8548472775564409,0.6802380952380952,0.7721621621621622,0.7232911392405064,0.924097187856871,0.8239610499660724,"[[10017, 1343], [843, 2857]]",2.2703349590301514,train_validation_split,ok
hgb_lr0.05_leaf63_l20.01,0.32499999999999996,0.7246642246642246,0.8652058432934927,0.7629093198992444,0.6548648648648648,0.7047702152414195,0.8490703851261621,0.6610973131632423,0.7913513513513514,0.7203838110468692,0.9234559026456034,0.8227552782122519,"[[9859, 1501], [772, 2928]]",2.6124041080474854,train_validation_split,ok
hgb_lr0.05_leaf63_l20.1,0.3549999999999999,0.7261306532663316,0.8655378486055777,0.7637795275590551,0.6554054054054054,0.7054545454545454,0.852722443559097,0.6754261363636364,0.7710810810810811,0.7200908632004038,0.9237771816711078,0.8236918663356222,"[[9989, 1371], [847, 2853]]",2.4801905155181885,train_validation_split,ok
hgb_lr0.08_leaf15_l20.0,0.35999999999999993,0.7271010387157696,0.8676626826029217,0.7719018795794839,0.6548648648648648,0.7085831261880392,0.854714475431607,0.6797432239657631,0.7727027027027027,0.7232481659499115,0.9249123762847353,0.82551640564867,"[[10013, 1347], [841, 2859]]",1.2014973163604736,train_validation_split,ok
hgb_lr0.08_leaf15_l20.01,0.37999999999999995,0.727802981205444,0.8680610889774236,0.7707872273158394,0.658918918918919,0.7104764680169022,0.8585657370517928,0.6959560659011482,0.7535135135135135,0.7235920062289125,0.9253115245527217,0.8267240308957475,"[[10142, 1218], [912, 2788]]",1.4404568672180176,train_validation_split,ok
hgb_lr0.08_leaf15_l20.1,0.3999999999999999,0.7284724513361927,0.8673970783532536,0.773354735152488,0.6510810810810811,0.7069699192956713,0.8615537848605578,0.7111111111111111,0.7351351351351352,0.7229235880398671,0.9248493766653979,0.8252809061028132,"[[10255, 1105], [980, 2720]]",1.1322276592254639,train_validation_split,ok
hgb_lr0.08_leaf31_l20.0,0.3549999999999999,0.730128809299403,0.8681938911022576,0.7723086694188631,0.6572972972972972,0.7101766681267339,0.8526560424966799,0.674112391253233,0.7748648648648648,0.7209857915252106,0.9244834055005711,0.824835362552172,"[[9974, 1386], [833, 2867]]",1.2474794387817383,train_validation_split,ok
hgb_lr0.08_leaf31_l20.01,0.38999999999999996,0.72809863724854,0.8682602921646746,0.7723809523809524,0.6575675675675675,0.7103649635036496,0.8579017264276229,0.6965725806451613,0.7470270270270271,0.7209181011997914,0.9242442781690141,0.824220385634283,"[[10156, 1204], [936, 2764]]",1.3705801963806152,train_validation_split,ok
hgb_lr0.08_leaf31_l20.1,0.3999999999999999,0.7301378857518056,0.8665338645418327,0.7668982943777637,0.6562162162162162,0.7072531313719779,0.8601593625498007,0.7064766839378238,0.737027027027027,0.7214285714285714,0.9242727802626568,0.8240158905240625,"[[10227, 1133], [973, 2727]]",1.3972363471984863,train_validation_split,ok
hgb_lr0.08_leaf63_l20.0,0.38499999999999995,0.7241602067183462,0.8659362549800796,0.7647244094488189,0.6562162162162162,0.7063272727272727,0.8575697211155379,0.6961897552359324,0.7456756756756757,0.7200835182043586,0.923348020555767,0.821968750945145,"[[10156, 1204], [941, 2759]]",1.727966070175171,train_validation_split,ok
hgb_lr0.08_leaf63_l20.01,0.37499999999999994,0.7247119078104993,0.8667330677290837,0.7669504888047934,0.6572972972972972,0.7079027797991558,0.8563745019920319,0.6889599213179247,0.7572972972972973,0.7215140981073773,0.9241694185382567,0.8239299600834825,"[[10095, 1265], [898, 2802]]",1.9667458534240723,train_validation_split,ok
hgb_lr0.08_leaf63_l20.1,0.32499999999999996,0.7249388753056235,0.8654050464807437,0.7641300915693084,0.654054054054054,0.7048201543614387,0.849136786188579,0.6609558160504959,0.7924324324324324,0.7207472959685349,0.9235567662733156,0.8228783333776135,"[[9856, 1504], [768, 2932]]",1.9660019874572754,train_validation_split,ok
logreg_C0.5_cwnone,0.295,0.68931475029036,0.848207171314741,0.7324128862590401,0.6021621621621621,0.6609314743399585,0.8223771580345286,0.6054309812795721,0.7954054054054054,0.6875365027450064,0.9034322302055577,0.7660833823241068,"[[9442, 1918], [757, 2943]]",0.17899155616760254,train_validation_split,ok
logreg_C0.5_cwbalanced,0.565,0.6891693572057529,0.8070385126162019,0.5733826247689464,0.8383783783783784,0.6810098792535675,0.8225763612217796,0.6071726438698916,0.787027027027027,0.6854990583804144,0.903207068424058,0.7637597040254858,"[[9476, 1884], [788, 2912]]",0.1540365219116211,train_validation_split,ok
logreg_C1.0_cwnone,0.295,0.6899157221737867,0.8476095617529881,0.7302523762700753,0.6021621621621621,0.6600503629091986,0.8217795484727756,0.6045697818032112,0.7937837837837838,0.6863753213367609,0.9031658855157975,0.7657442685934621,"[[9439, 1921], [763, 2937]]",0.14127445220947266,train_validation_split,ok
logreg_C1.0_cwbalanced,0.565,0.6887262079062958,0.8061088977423638,0.5719291774253044,0.8381081081081081,0.67989475992107,0.8227755644090305,0.6075078206465068,0.7872972972972972,0.6858151854031783,0.9031309478492577,0.7636005692249568,"[[9478, 1882], [787, 2913]]",0.17958474159240723,train_validation_split,ok
logreg_C2.0_cwnone,0.295,0.688572259377726,0.847808764940239,0.7305173542894564,0.6029729729729729,0.6606455433816998,0.8223771580345286,0.6054743774439185,0.7951351351351351,0.6874634887253184,0.9032135753711457,0.7658527736409918,"[[9443, 1917], [758, 2942]]",0.1624143123626709,train_validation_split,ok
logreg_C2.0_cwbalanced,0.57,0.6884955752212389,0.8065737051792828,0.572668513388735,0.8381081081081081,0.6804168952276467,0.8235723771580346,0.6099051633298208,0.7821621621621622,0.6853759621077561,0.9030491411305671,0.7635278149441557,"[[9509, 1851], [806, 2894]]",0.16068243980407715,train_validation_split,ok
extra_trees_depth12_cwnone,0.33499999999999996,0.6826417299824664,0.8336653386454184,0.7347740667976425,0.5054054054054054,0.5988791032826261,0.8138778220451527,0.5928379217553301,0.774054054054054,0.6714335951236666,0.8912912185953559,0.7255517148093349,"[[9393, 1967], [836, 2864]]",1.1732597351074219,train_validation_split,ok
random_forest_depth12_cwnone,0.3499999999999999,0.7090796788140827,0.8554448871181939,0.7879017013232514,0.5632432432432433,0.6568951930654058,0.8390438247011952,0.6463302752293578,0.7616216216216216,0.6992555831265509,0.9110795227445757,0.7928439091731235,"[[9818, 1542], [882, 2818]]",1.2103846073150635,train_validation_split,ok
extra_trees_depth18_cwnone,0.33999999999999997,0.6932608038682382,0.8399070385126162,0.7347905282331512,0.5451351351351351,0.6259115593483321,0.8252988047808765,0.6171892128919096,0.7608108108108108,0.6815155550175523,0.896858845641416,0.7363314741003419,"[[9614, 1746], [885, 2815]]",1.4425349235534668,train_validation_split,ok
random_forest_depth18_cwnone,0.36999999999999994,0.7146955690149824,0.8591633466135458,0.7806612157838606,0.5935135135135136,0.6743436204514048,0.8472775564409031,0.6721593703885883,0.7386486486486487,0.7038372392480041,0.9134876641606396,0.7990868034960201,"[[10027, 1333], [967, 2733]]",1.4199941158294678,train_validation_split,ok
extra_trees_depthnone_cwnone,0.33999999999999997,0.6958608278344331,0.8468127490039841,0.7322440813604535,0.5935135135135136,0.6556202418271384,0.8267596281540505,0.6183553916250814,0.7702702702702703,0.6860031291370803,0.8991825751808146,0.7448538594050552,"[[9601, 1759], [850, 2850]]",1.6160967350006104,train_validation_split,ok
random_forest_depthnone_cwnone,0.41999999999999993,0.7143336690164485,0.8567065073041169,0.7556366047745358,0.615945945945946,0.6786777843954735,0.8535192563081009,0.7038755458515283,0.697027027027027,0.700434546442151,0.9131404049295774,0.7983622234077444,"[[10275, 1085], [1121, 2579]]",1.8004975318908691,train_validation_split,ok
extra_trees_depth12_cwbalanced,0.6,0.6734992679355783,0.7698539176626826,0.5190058479532164,0.8635135135135135,0.648336038961039,0.8113545816733068,0.5900985945038808,0.7602702702702703,0.6644620290539742,0.8866931266653979,0.7165417342251091,"[[9406, 1954], [887, 2813]]",1.653702974319458,train_validation_split,ok
random_forest_depth12_cwbalanced,0.61,0.7101811367895066,0.800464807436919,0.5599034649198414,0.8778378378378379,0.6837175034206926,0.8407038512616202,0.653383635934921,0.7489189189189189,0.6978969903034882,0.9095166301865245,0.782067334981503,"[[9890, 1470], [929, 2771]]",2.0904788970947266,train_validation_split,ok
extra_trees_depth18_cwbalanced,0.6,0.6853317102860621,0.7858565737051793,0.5406191209167094,0.8543243243243244,0.6621975489682623,0.8215139442231075,0.6136567834681043,0.7383783783783784,0.6702649656526006,0.8919296726303767,0.727428057948226,"[[9640, 1720], [968, 2732]]",1.9098598957061768,train_validation_split,ok
random_forest_depth18_cwbalanced,0.62,0.7167630057803468,0.8130146082337317,0.5806569343065694,0.86,0.6932461873638345,0.846879150066401,0.673469387755102,0.7313513513513513,0.7012179321067634,0.912760503901789,0.7914067336426143,"[[10048, 1312], [994, 2706]]",2.373422145843506,train_validation_split,ok
extra_trees_depthnone_cwbalanced,0.605,0.6904611497157296,0.803652058432935,0.5690135612112205,0.8278378378378378,0.6744467686887592,0.8302788844621514,0.6380975374215355,0.7143243243243244,0.6740627390971691,0.894766594499429,0.7349401959150573,"[[9861, 1499], [1057, 2643]]",2.136653423309326,train_validation_split,ok
random_forest_depthnone_cwbalanced,0.625,0.7144272036975899,0.8237715803452855,0.6023884103367267,0.8316216216216217,0.6986830154405086,0.851128818061089,0.6920442571127503,0.71,0.7009071504802561,0.9120965811762466,0.789551967033051,"[[10191, 1169], [1073, 2627]]",2.7979464530944824,train_validation_split,ok
