experiment_id,seed,model_name,is_dp,dataset,train_size,test_size,input_dim,epochs,batch_size,learning_rate,optimizer,momentum,noise_multiplier,max_grad_norm,delta,epsilon,accuracy,precision,recall,f1_score,confusion_matrix,roc_auc,pr_auc,training_time,notes,status,device,baseline_f1,f1_drop_vs_mlp_baseline,reference_baseline_f1,f1_drop_vs_reference_baseline
dp_mlp_bs_256_clip_3p0_noise_8p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,8.0,3.0,1e-05,0.1766339053938553,0.7752324037184595,0.5662042875157629,0.364054054054054,0.4431649942424741,"[[10328, 1032], [2353, 1347]]",0.7585357108869433,0.4786346507168116,30.422930479049683,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.2213425870912518,0.6950887650641441,0.25192377082167
dp_mlp_bs_256_clip_0p5_noise_10p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,10.0,0.5,1e-05,0.1402836079974996,0.8271580345285524,0.6876496749914471,0.5432432432432432,0.6069756907745735,"[[10447, 913], [1690, 2010]]",0.8734469927674152,0.6999656689496146,30.017410039901733,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.0575318905591524,0.6950887650641441,0.0881130742895706
dp_mlp_bs_256_clip_1p0_noise_10p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,10.0,1.0,1e-05,0.1402836079974996,0.7950863213811421,0.5879656160458453,0.5545945945945946,0.5707927677329625,"[[9922, 1438], [1648, 2052]]",0.8397526051579749,0.596156531608517,32.14569640159607,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.0937148136007633,0.6950887650641441,0.12429599733118157
dp_mlp_bs_256_clip_2p0_noise_10p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,10.0,2.0,1e-05,0.1402836079974996,0.7764276228419654,0.5558537403555853,0.4478378378378378,0.4960335279149828,"[[10036, 1324], [2043, 1657]]",0.7866432717929196,0.4958319917507952,31.97217893600464,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.1684740534187431,0.6950887650641441,0.1990552371491613
dp_mlp_bs_256_clip_3p0_noise_10p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,10.0,3.0,1e-05,0.1402836079974996,0.7733731739707835,0.5491606714628298,0.4332432432432432,0.4843631968575314,"[[10044, 1316], [2097, 1603]]",0.7096422249714502,0.4241440964612529,31.084150791168213,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.1801443844761945,0.6950887650641441,0.2107255682066127
dp_mlp_bs_256_clip_0p5_noise_15p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,15.0,0.5,1e-05,0.0933718049721309,0.8029216467463479,0.6153846153846154,0.5275675675675676,0.5681024447031432,"[[10140, 1220], [1748, 1952]]",0.8453203868481156,0.6210831039825088,31.226852416992188,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.0964051366305827,0.6950887650641441,0.12698632036100088
dp_mlp_bs_256_clip_1p0_noise_15p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,15.0,1.0,1e-05,0.0933718049721309,0.7704515272244356,0.5352276022035373,0.4989189189189189,0.5164358651559658,"[[9757, 1603], [1854, 1846]]",0.7998107037495242,0.5034150859591233,29.927836418151852,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.14807171617776,0.6950887650641441,0.17865289990817823
dp_mlp_bs_256_clip_2p0_noise_15p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,15.0,2.0,1e-05,0.0933718049721309,0.7601593625498008,0.5120415982484948,0.5056756756756757,0.5088387272232798,"[[9577, 1783], [1829, 1871]]",0.7058895365435858,0.4089300415698463,29.49066638946533,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.155668854110446,0.6950887650641441,0.18625003784086425
dp_mlp_bs_256_clip_3p0_noise_15p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,15.0,3.0,1e-05,0.0933718049721309,0.7594953519256308,0.5106209150326797,0.5067567567567568,0.5086814975583288,"[[9563, 1797], [1825, 1875]]",0.6821485534830606,0.3879506879730112,29.16822338104248,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.155826083775397,0.6950887650641441,0.18640726750581527
dp_mlp_bs_256_clip_0p5_noise_20p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,20.0,0.5,1e-05,0.0707314125689482,0.7803452855245684,0.5632258064516129,0.4718918918918919,0.5135294117647059,"[[10006, 1354], [1954, 1746]]",0.8126178863722878,0.5442692406638535,29.884986877441406,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.15097816956902,0.6950887650641441,0.18155935329943818
dp_mlp_bs_256_clip_1p0_noise_20p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,20.0,1.0,1e-05,0.0707314125689482,0.7598273572377158,0.5132715062360089,0.4337837837837838,0.4701918851618573,"[[9838, 1522], [2095, 1605]]",0.7273858607727446,0.4270842700507917,28.172504901885983,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.1943156961718685,0.6950887650641441,0.2248968799022868
dp_mlp_bs_256_clip_2p0_noise_20p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,20.0,2.0,1e-05,0.0707314125689482,0.7555776892430279,0.5029977911012938,0.4308108108108108,0.464114135973213,"[[9785, 1575], [2106, 1594]]",0.6551553816140084,0.3655503259625065,29.214314699172974,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.2003934453605129,0.6950887650641441,0.23097462909093108
dp_mlp_bs_256_clip_3p0_noise_20p0_seed_42,42,dp_sgd_mlp,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,20.0,3.0,1e-05,0.0707314125689482,0.7553784860557768,0.502510985561833,0.4327027027027027,0.4650014522218995,"[[9775, 1585], [2099, 1601]]",0.649498501141987,0.3599161262767236,29.46899962425232,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.6645075813337259,0.1995061291118264,0.6950887650641441,0.2300873128422446
