experiment_id,seed,model_name,model_variant,is_dp,dataset,train_size,test_size,input_dim,epochs,batch_size,learning_rate,optimizer,momentum,noise_multiplier,max_grad_norm,hidden_dims,dropout,delta,epsilon,accuracy,precision,recall,f1_score,confusion_matrix,roc_auc,pr_auc,training_time,notes,status,device,reference_f1,f1_drop_vs_reference
dp_mlp_bs_256_clip_2p0_noise_8p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,8.0,2.0,64-32,0.1,1e-05,0.17663390539385532,0.7868525896414342,0.6072679509632224,0.37486486486486487,0.46356951871657753,"[[10463, 897], [2313, 1387]]",0.8057462409592692,0.5670577762228197,22.387993812561035,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.26372576664322395
dp_mlp_bs_256_clip_3p0_noise_8p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,8.0,3.0,64-32,0.1,1e-05,0.17663390539385532,0.6938911022576362,0.42616033755274263,0.7097297297297297,0.532549178665585,"[[7824, 3536], [1074, 2626]]",0.7577966906166731,0.46914729493464097,22.757299423217773,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.19474610669421644
dp_mlp_bs_256_clip_0p5_noise_10p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,10.0,0.5,64-32,0.1,1e-05,0.14028360799749962,0.8332005312084994,0.6978680879413725,0.5662162162162162,0.6251865114891078,"[[10453, 907], [1605, 2095]]",0.8788040421583555,0.7141277679841426,23.23413109779358,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.10210877387069373
dp_mlp_bs_256_clip_1p0_noise_10p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,10.0,1.0,64-32,0.1,1e-05,0.14028360799749962,0.8101593625498008,0.6630476929042265,0.46216216216216216,0.544672718585762,"[[10491, 869], [1990, 1710]]",0.8495537209744956,0.6406932488919641,22.603174209594727,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.18262256677403943
dp_mlp_bs_256_clip_2p0_noise_10p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,10.0,2.0,64-32,0.1,1e-05,0.14028360799749962,0.7600265604249667,0.5182203389830509,0.33054054054054055,0.4036303630363036,"[[10223, 1137], [2477, 1223]]",0.7630907998667681,0.49365361522453194,23.040680170059204,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.32366492232349786
dp_mlp_bs_256_clip_3p0_noise_10p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,10.0,3.0,64-32,0.1,1e-05,0.14028360799749962,0.6789508632138114,0.40722576426352786,0.6732432432432433,0.5074870123255577,"[[7734, 3626], [1209, 2491]]",0.7276774719261515,0.41936276868889943,23.063504934310913,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.21980827303424377
dp_mlp_bs_256_clip_0p5_noise_15p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,15.0,0.5,64-32,0.1,1e-05,0.09337180497213095,0.8120185922974767,0.6360789226432821,0.548918918918919,0.5892934861453648,"[[10198, 1162], [1669, 2031]]",0.8534715573848495,0.6514914960592145,24.08129644393921,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.13800179921443667
dp_mlp_bs_256_clip_1p0_noise_15p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,15.0,1.0,64-32,0.1,1e-05,0.09337180497213095,0.7752988047808765,0.5602593440122045,0.397027027027027,0.4647263524201202,"[[10207, 1153], [2231, 1469]]",0.7886615554815378,0.5274772634575717,22.935246229171753,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.26256893293968125
dp_mlp_bs_256_clip_2p0_noise_15p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,15.0,2.0,64-32,0.1,1e-05,0.09337180497213095,0.747875166002656,0.47204610951008646,0.22135135135135134,0.3013799448022079,"[[10444, 916], [2881, 819]]",0.7212933360296916,0.4181973863190955,22.822787523269653,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.42591534055759356
dp_mlp_bs_256_clip_3p0_noise_15p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,15.0,3.0,64-32,0.1,1e-05,0.09337180497213095,0.7365205843293493,0.41241830065359475,0.17054054054054055,0.2413001912045889,"[[10461, 899], [3069, 631]]",0.6638085506280929,0.35048164958578354,23.211816549301147,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.4859950941552126
dp_mlp_bs_256_clip_0p5_noise_20p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,20.0,0.5,64-32,0.1,1e-05,0.07073141256894827,0.7882470119521913,0.5822336659156743,0.4889189189189189,0.5315116791538123,"[[10062, 1298], [1891, 1809]]",0.8156414398553482,0.5749695008435088,22.42441439628601,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.19578360620598922
dp_mlp_bs_256_clip_1p0_noise_20p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,20.0,1.0,64-32,0.1,1e-05,0.07073141256894827,0.7525232403718459,0.4952648193616275,0.3816216216216216,0.4310792245458709,"[[9921, 1439], [2288, 1412]]",0.7491856799581272,0.4586227981729458,22.61615777015686,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.2962160608139306
dp_mlp_bs_256_clip_2p0_noise_20p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,20.0,2.0,64-32,0.1,1e-05,0.07073141256894827,0.7315405046480744,0.4497509522414298,0.41486486486486485,0.431604105159567,"[[9482, 1878], [2165, 1535]]",0.7081752117434336,0.3939627126376919,22.830709218978882,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.2956911802002345
dp_mlp_bs_256_clip_3p0_noise_20p0_seed_42,42,dp_sgd_mlp,mlp_64_32_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,20.0,3.0,64-32,0.1,1e-05,0.07073141256894827,0.7265604249667995,0.4412921348314607,0.4245945945945946,0.4327823691460055,"[[9371, 1989], [2129, 1571]]",0.6587656309478493,0.35538624928896245,22.717211723327637,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.294512916213796
dp_mlp_bs_256_clip_0p5_noise_0p5_seed_42,42,dp_sgd_mlp,mlp_128_64_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,0.5,0.5,128-64,0.1,1e-05,16.866018589908,0.850464807436919,0.7543921293042867,0.5802702702702702,0.6559731133516652,"[[10661, 699], [1553, 2147]]",0.9074900314046441,0.7759758683882964,22.535821437835693,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.07132217200813629
dp_mlp_bs_256_clip_1p0_noise_0p5_seed_42,42,dp_sgd_mlp,mlp_128_64_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,0.5,1.0,128-64,0.1,1e-05,16.866018589908,0.8528552456839309,0.7563925362819627,0.5916216216216216,0.6639369123445557,"[[10655, 705], [1511, 2189]]",0.9082118385991625,0.7787804843913935,23.093669891357422,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.06335837301524583
dp_mlp_bs_256_clip_2p0_noise_0p5_seed_42,42,dp_sgd_mlp,mlp_128_64_d0p1,True,uci_adult,30162,15060,104,20,256,0.05,sgd,0.9,0.5,2.0,128-64,0.1,1e-05,16.866018589908,0.8536520584329349,0.7575757575757576,0.5945945945945946,0.6662628709872804,"[[10656, 704], [1500, 2200]]",0.9077924795393987,0.7785973692481809,22.751638650894165,DP-SGD with Opacus PrivacyEngine,ok,cuda,0.7272952853598015,0.06103241437252105
